as_of_date,code,name,sector,theme,watch_priority,status,candidate_group,open,high,low,close,volume,ma25,ma25_direction,ma25_slope_pct,ma25_deviation_pct,close_above_ma25,higher_high,higher_low,trend_is_uptrend,range_found,range_start,range_end,range_days,range_lower,range_upper,range_width_pct,range_position,lower_distance_pct,lower_reaction_count,lower_reaction_dates,days_since_lower_touch,range_lower_zone_low,range_lower_zone_high,range_quality,previous_day_high,entry_trigger,entry_trigger_margin_pct,rebound_confirmed,bullish_candle,long_lower_wick,volume_recovered,initial_stop,stop_distance_pct,volume_ratio,volume_range_vs_pre_ratio,volume_avg5,volume_avg20,volume_evaluation,volume_evaluation_label,trend_reason,range_reason,entry_reason,volume_reason,status_reason
2026-09-14,8058,三菱商事,卸売業,商社・資源,A,NEAR,PRIMARY,5040.00,5093.00,4980.00,4991.00,6559900,4849.96,up,0.97,2.91,true,true,true,true,true,2026-09-09,2026-09-14,4,4884.00,5093.00,4.28,0.512,2.19,2,2026-09-09|2026-09-11,1,4849.81,4918.19,0.650,5036.00,5036.00,-0.89,false,false,false,false,4859.58,-2.63,0.842,0.746,7787120,7589265,contracting,レンジ中減少傾向,"MA25の向き: 上向き — MA25 4,850円 > 5日前 4,803円 (+1.0%)
株価 > MA25: 4,991円 > MA25 4,850円 (+2.9%)
高値切り上げ: 直近 5,123円(09/03) > 前回 4,812円(08/25) (+6.5%)
安値切り上げ: 直近 4,833円(09/08) > 前回 4,692円(08/27) (+3.0%)
トレンド強度: 0.19 ← 乖離 +2.9%（正規化 0.19 × 重み0.5） + 傾き +1.0%（正規化 0.19 × 重み0.5）","短期レンジ: 4営業日 (09/09〜09/14)
レンジ上限/下限: 下限 4,884円（zone 4,850円〜4,918円） / 上限 5,093円（zone 5,057円〜5,129円）
値幅: 4.3%（許容 1.0%〜10.0%）
下限反応: 下限4,884円±0.7% に 2回反応 (09/09, 09/11)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 1.08（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 0.75
レンジ品質: 0.65 ≧ しきい値 0.45（内訳: 値幅 4.3% → 0.64 × 重み0.25 / 2回 / 目標2回 → 1.00 × 重み0.3 / 後半/前半 1.08 → 0.14 × 重み0.2 / レンジ/直前 0.75 → 1.00 × 重み0.15 / 4営業日 → 0.14 × 重み0.1）
検討した window: 3日=不採用(レンジ品質が不足（0.39 < 0.45）)、4日=採用(品質0.65)、5日=可(品質0.57)、6日=可(品質0.59)、7日=可(品質0.56)、8日=可(品質0.49)、9日=可(品質0.61)、10日=不採用(レンジ品質が不足（0.45 < 0.45）)","反発確認（終値 > 前日高値）: 終値 4,991円 <= 前日高値 5,036円 (-0.9%)
陽線: 始値 5,040円 → 終値 4,991円 (-1.0%)
長い下ヒゲ: 下ヒゲ 11.0 / 実体 49.0 = 0.22（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 6,559,900株 vs 5日平均 7,787,120株（0.84倍、1.2倍以上で回復）
下限までの距離: 終値 4,991円 は 下限 4,884円 から +2.2%
下限付近: 距離 +2.2% > しきい値 2.0% だが 1営業日前（09/11）に下限zone 4,918円 以下へ接触（lookback 3営業日）
損切り候補: 4,860円 = 下限 4,884円 の 0.5% 下
状態: NEAR — 上昇トレンド＋レンジ下限付近（下限まで +2.2%）。反発確認はまだ＝最重要監視候補","出来高の状態: レンジ中減少傾向（レンジ平均 7,767,600株 / レンジ前平均 10,417,225株 = 0.75、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 6,559,900株 / 5日平均 7,787,120株（0.84倍）/ 20日平均 7,589,265株",NEAR — 上昇トレンド＋レンジ下限付近（下限まで +2.2%）。反発確認はまだ＝最重要監視候補
2026-09-14,1820,西松建設,建設業,建設・国土強靭化,B,RANGE,SECONDARY,5500.00,5561.00,5500.00,5548.00,71800,5542.88,up,0.94,0.09,true,false,true,true,true,2026-09-10,2026-09-14,3,5420.00,5609.00,3.49,0.677,2.36,1,2026-09-11,1,5382.06,5457.94,0.626,5525.00,5525.00,0.42,true,true,false,false,5392.90,-2.80,0.717,0.984,100100,120140,neutral,横ばい,"MA25の向き: 上向き — MA25 5,543円 > 5日前 5,491円 (+0.9%)
株価 > MA25: 5,548円 > MA25 5,543円 (+0.1%)
高値切り上げ: 直近 5,672円(09/07) <= 前回 5,688円(09/02) (-0.3%)
安値切り上げ: 直近 5,508円(08/28) > 前回 5,368円(08/19) (+2.6%)
トレンド強度: 0.10 ← 乖離 +0.1%（正規化 0.01 × 重み0.5） + 傾き +0.9%（正規化 0.19 × 重み0.5）","短期レンジ: 3営業日 (09/10〜09/14)
レンジ上限/下限: 下限 5,420円（zone 5,382円〜5,458円） / 上限 5,609円（zone 5,570円〜5,648円）
値幅: 3.5%（許容 1.0%〜10.0%）
下限反応: 下限5,420円±0.7% に 1回反応 (09/11)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.53（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 0.98
レンジ品質: 0.63 ≧ しきい値 0.45（内訳: 値幅 3.5% → 0.72 × 重み0.25 / 1回 / 目標2回 → 0.50 × 重み0.3 / 後半/前半 0.53 → 1.00 × 重み0.2 / レンジ/直前 0.98 → 0.63 × 重み0.15 / 3営業日 → 0.00 × 重み0.1）
検討した window: 3日=採用(品質0.63)、4日=不採用(安値が3本連続で切り下がり（5,568→5,493→5,420）)、5日=不採用(安値が3本連続で切り下がり（5,568→5,493→5,420）)、6日=不採用(安値が3本連続で切り下がり（5,568→5,493→5,420）)、7日=不採用(安値が3本連続で切り下がり（5,568→5,493→5,420） / 日々の値幅が拡大中（後半/前半 1.15 > 1.15）)、8日=不採用(安値が3本連続で切り下がり（5,568→5,493→5,420） / 日々の値幅が拡大中（後半/前半 1.27 > 1.15）)、9日=不採用(安値が3本連続で切り下がり（5,592→5,589→5,558） / 日々の値幅が拡大中（後半/前半 1.25 > 1.15）)、10日=不採用(安値が3本連続で切り下がり（5,592→5,589→5,558） / 日々の値幅が拡大中（後半/前半 1.15 > 1.15）)","反発確認（終値 > 前日高値）: 終値 5,548円 > 前日高値 5,525円 (+0.4%)
陽線: 始値 5,500円 → 終値 5,548円 (+0.9%)
長い下ヒゲ: 下ヒゲ 0.0 / 実体 48.0 = 0.00（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 71,800株 vs 5日平均 100,100株（0.72倍、1.2倍以上で回復）
下限までの距離: 終値 5,548円 は 下限 5,420円 から +2.4%
下限付近: レンジ内位置 0.68 が上限寄り（しきい値 0.65、0=下限 / 1=上限）。下限まで +2.4% だが既にレンジ上部にあり、下限反発の買い場ではない
損切り候補: 5,393円 = 下限 5,420円 の 0.5% 下
状態: RANGE — 上昇トレンド＋3営業日のレンジ。ただしレンジ内位置 0.68 と上限寄りで、下限反発の買い場ではない","出来高の状態: 横ばい（レンジ平均 105,733株 / レンジ前平均 107,467株 = 0.98、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 71,800株 / 5日平均 100,100株（0.72倍）/ 20日平均 120,140株",RANGE — 上昇トレンド＋3営業日のレンジ。ただしレンジ内位置 0.68 と上限寄りで、下限反発の買い場ではない
2026-09-14,7182,ゆうちょ銀行,銀行業,銀行・金利上昇,B,RANGE,SECONDARY,3247.00,3324.00,3235.00,3299.00,5134400,3268.60,up,0.69,0.93,true,true,true,true,true,2026-09-09,2026-09-14,4,3200.00,3324.00,3.88,0.798,3.09,1,2026-09-11,1,3177.60,3222.40,0.478,3320.00,3320.00,-0.63,false,true,false,false,3184.00,-3.49,0.973,0.938,5276240,5648035,neutral,横ばい,"MA25の向き: 上向き — MA25 3,269円 > 5日前 3,246円 (+0.7%)
株価 > MA25: 3,299円 > MA25 3,269円 (+0.9%)
高値切り上げ: 直近 3,455円(09/03) > 前回 3,360円(08/18) (+2.8%)
安値切り上げ: 直近 3,110円(08/21) > 前回 3,036円(08/10) (+2.4%)
トレンド強度: 0.10 ← 乖離 +0.9%（正規化 0.06 × 重み0.5） + 傾き +0.7%（正規化 0.14 × 重み0.5）","短期レンジ: 4営業日 (09/09〜09/14)
レンジ上限/下限: 下限 3,200円（zone 3,178円〜3,222円） / 上限 3,324円（zone 3,301円〜3,347円）
値幅: 3.9%（許容 1.0%〜10.0%）
下限反応: 下限3,200円±0.7% に 1回反応 (09/11)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 1.05（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 0.94
レンジ品質: 0.48 ≧ しきい値 0.45（内訳: 値幅 3.9% → 0.68 × 重み0.25 / 1回 / 目標2回 → 0.50 × 重み0.3 / 後半/前半 1.05 → 0.17 × 重み0.2 / レンジ/直前 0.94 → 0.72 × 重み0.15 / 4営業日 → 0.14 × 重み0.1）
検討した window: 3日=可(品質0.46)、4日=採用(品質0.48)、5日=可(品質0.46)、6日=不採用(安値が3本連続で切り下がり（3,326→3,257→3,210） / 日々の値幅が拡大中（後半/前半 1.19 > 1.15）)、7日=不採用(安値が3本連続で切り下がり（3,326→3,257→3,210）)、8日=不採用(安値が3本連続で切り下がり（3,326→3,257→3,210）)、9日=不採用(安値が3本連続で切り下がり（3,326→3,257→3,210） / 日々の値幅が拡大中（後半/前半 1.22 > 1.15）)、10日=不採用(安値が3本連続で切り下がり（3,326→3,257→3,210） / 日々の値幅が拡大中（後半/前半 1.16 > 1.15）)","反発確認（終値 > 前日高値）: 終値 3,299円 <= 前日高値 3,320円 (-0.6%)
陽線: 始値 3,247円 → 終値 3,299円 (+1.6%)
長い下ヒゲ: 下ヒゲ 12.0 / 実体 52.0 = 0.23（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 5,134,400株 vs 5日平均 5,276,240株（0.97倍、1.2倍以上で回復）
下限までの距離: 終値 3,299円 は 下限 3,200円 から +3.1%
下限付近: レンジ内位置 0.80 が上限寄り（しきい値 0.65、0=下限 / 1=上限）。下限まで +3.1% だが既にレンジ上部にあり、下限反発の買い場ではない
損切り候補: 3,184円 = 下限 3,200円 の 0.5% 下
状態: RANGE — 上昇トレンド＋4営業日のレンジ。ただしレンジ内位置 0.80 と上限寄りで、下限反発の買い場ではない","出来高の状態: 横ばい（レンジ平均 5,496,125株 / レンジ前平均 5,861,700株 = 0.94、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 5,134,400株 / 5日平均 5,276,240株（0.97倍）/ 20日平均 5,648,035株",RANGE — 上昇トレンド＋4営業日のレンジ。ただしレンジ内位置 0.80 と上限寄りで、下限反発の買い場ではない
2026-09-14,1813,不動テトラ,建設業,建設・国土強靭化,C,RANGE,SECONDARY,2880.00,2945.00,2872.00,2945.00,87100,2847.76,up,1.04,3.41,true,true,true,true,true,2026-09-09,2026-09-14,4,2816.00,2955.00,4.94,0.928,4.58,2,2026-09-09|2026-09-11,1,2796.29,2835.71,0.531,2913.00,2913.00,1.10,true,true,false,false,2801.92,-4.86,1.117,1.702,77960,58970,expanding,レンジ中増加傾向,"MA25の向き: 上向き — MA25 2,848円 > 5日前 2,819円 (+1.0%)
株価 > MA25: 2,945円 > MA25 2,848円 (+3.4%)
高値切り上げ: 直近 2,955円(09/10) > 前回 2,904円(08/27) (+1.8%)
安値切り上げ: 直近 2,785円(09/02) > 前回 2,746円(08/19) (+1.4%)
トレンド強度: 0.22 ← 乖離 +3.4%（正規化 0.23 × 重み0.5） + 傾き +1.0%（正規化 0.21 × 重み0.5）","短期レンジ: 4営業日 (09/09〜09/14)
レンジ上限/下限: 下限 2,816円（zone 2,796円〜2,836円） / 上限 2,955円（zone 2,934円〜2,976円）
値幅: 4.9%（許容 1.0%〜10.0%）
下限反応: 下限2,816円±0.7% に 2回反応 (09/09, 09/11)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.94（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 1.70
レンジ品質: 0.53 ≧ しきい値 0.45（内訳: 値幅 4.9% → 0.56 × 重み0.25 / 2回 / 目標2回 → 1.00 × 重み0.3 / 後半/前半 0.94 → 0.38 × 重み0.2 / レンジ/直前 1.70 → 0.00 × 重み0.15 / 4営業日 → 0.14 × 重み0.1）
検討した window: 3日=不採用(レンジ品質が不足（0.41 < 0.45）)、4日=採用(品質0.53)、5日=可(品質0.48)、6日=不採用(安値が3本連続で切り下がり（2,840→2,835→2,828） / 日々の値幅が拡大中（後半/前半 1.41 > 1.15）)、7日=不採用(安値が3本連続で切り下がり（2,840→2,835→2,828） / 日々の値幅が拡大中（後半/前半 1.93 > 1.15）)、8日=不採用(安値が3本連続で切り下がり（2,840→2,835→2,828） / 日々の値幅が拡大中（後半/前半 1.92 > 1.15）)、9日=不採用(安値が3本連続で切り下がり（2,840→2,835→2,828） / 日々の値幅が拡大中（後半/前半 1.92 > 1.15）)、10日=不採用(安値が3本連続で切り下がり（2,840→2,835→2,828） / 日々の値幅が拡大中（後半/前半 1.70 > 1.15）)","反発確認（終値 > 前日高値）: 終値 2,945円 > 前日高値 2,913円 (+1.1%)
陽線: 始値 2,880円 → 終値 2,945円 (+2.3%)
長い下ヒゲ: 下ヒゲ 8.0 / 実体 65.0 = 0.12（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 87,100株 vs 5日平均 77,960株（1.12倍、1.2倍以上で回復）
下限までの距離: 終値 2,945円 は 下限 2,816円 から +4.6%
下限付近: レンジ内位置 0.93 が上限寄り（しきい値 0.65、0=下限 / 1=上限）。下限まで +4.6% だが既にレンジ上部にあり、下限反発の買い場ではない
損切り候補: 2,802円 = 下限 2,816円 の 0.5% 下
状態: RANGE — 上昇トレンド＋4営業日のレンジ。ただしレンジ内位置 0.93 と上限寄りで、下限反発の買い場ではない","出来高の状態: レンジ中増加傾向（レンジ平均 84,350株 / レンジ前平均 49,550株 = 1.70、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 87,100株 / 5日平均 77,960株（1.12倍）/ 20日平均 58,970株",RANGE — 上昇トレンド＋4営業日のレンジ。ただしレンジ内位置 0.93 と上限寄りで、下限反発の買い場ではない
2026-09-14,7270,SUBARU,輸送用機器,自動車・円安,B,RANGE,SECONDARY,2618.50,2649.50,2601.50,2649.00,3128700,2613.46,up,0.25,1.36,true,true,false,true,true,2026-09-10,2026-09-14,3,2519.50,2649.50,5.16,0.996,5.14,1,2026-09-10,1,2501.86,2537.14,0.481,2626.00,2626.00,0.88,true,true,false,false,2506.90,-5.36,0.712,0.955,4394460,4045715,neutral,横ばい,"MA25の向き: 上向き — MA25 2,613円 > 5日前 2,607円 (+0.3%)
株価 > MA25: 2,649円 > MA25 2,613円 (+1.4%)
高値切り上げ: 直近 2,749円(09/01) > 前回 2,675円(08/21) (+2.8%)
安値切り上げ: 直近 2,520円(09/10) <= 前回 2,585円(08/27) (-2.5%)
トレンド強度: 0.07 ← 乖離 +1.4%（正規化 0.09 × 重み0.5） + 傾き +0.3%（正規化 0.05 × 重み0.5）","短期レンジ: 3営業日 (09/10〜09/14)
レンジ上限/下限: 下限 2,520円（zone 2,502円〜2,537円） / 上限 2,650円（zone 2,631円〜2,668円）
値幅: 5.2%（許容 1.0%〜10.0%）
下限反応: 下限2,520円±0.7% に 1回反応 (09/10)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.89（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 0.95
レンジ品質: 0.48 ≧ しきい値 0.45（内訳: 値幅 5.2% → 0.54 × 重み0.25 / 1回 / 目標2回 → 0.50 × 重み0.3 / 後半/前半 0.89 → 0.47 × 重み0.2 / レンジ/直前 0.95 → 0.69 × 重み0.15 / 3営業日 → 0.00 × 重み0.1）
検討した window: 3日=採用(品質0.48)、4日=不採用(日々の値幅が拡大中（後半/前半 1.41 > 1.15）)、5日=不採用(安値が3本連続で切り下がり（2,540→2,520→2,520） / 日々の値幅が拡大中（後半/前半 1.33 > 1.15）)、6日=不採用(安値が4本連続で切り下がり（2,638→2,540→2,520→2,520） / 日々の値幅が拡大中（後半/前半 1.50 > 1.15）)、7日=不採用(安値が4本連続で切り下がり（2,638→2,540→2,520→2,520） / 日々の値幅が拡大中（後半/前半 1.51 > 1.15）)、8日=不採用(安値が4本連続で切り下がり（2,638→2,540→2,520→2,520） / 日々の値幅が拡大中（後半/前半 1.34 > 1.15）)、9日=不採用(安値が4本連続で切り下がり（2,638→2,540→2,520→2,520） / 日々の値幅が拡大中（後半/前半 1.50 > 1.15）)、10日=不採用(安値が4本連続で切り下がり（2,638→2,540→2,520→2,520） / 日々の値幅が拡大中（後半/前半 1.37 > 1.15）)","反発確認（終値 > 前日高値）: 終値 2,649円 > 前日高値 2,626円 (+0.9%)
陽線: 始値 2,618円 → 終値 2,649円 (+1.2%)
長い下ヒゲ: 下ヒゲ 17.0 / 実体 30.5 = 0.56（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 3,128,700株 vs 5日平均 4,394,460株（0.71倍、1.2倍以上で回復）
下限までの距離: 終値 2,649円 は 下限 2,520円 から +5.1%
下限付近: レンジ内位置 1.00 が上限寄り（しきい値 0.65、0=下限 / 1=上限）。下限まで +5.1% だが既にレンジ上部にあり、下限反発の買い場ではない
損切り候補: 2,507円 = 下限 2,520円 の 0.5% 下
状態: RANGE — 上昇トレンド＋3営業日のレンジ。ただしレンジ内位置 1.00 と上限寄りで、下限反発の買い場ではない","出来高の状態: 横ばい（レンジ平均 3,992,200株 / レンジ前平均 4,181,533株 = 0.95、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 3,128,700株 / 5日平均 4,394,460株（0.71倍）/ 20日平均 4,045,715株",RANGE — 上昇トレンド＋3営業日のレンジ。ただしレンジ内位置 1.00 と上限寄りで、下限反発の買い場ではない
2026-09-14,6770,アルプスアルパイン,電気機器,電子部品・AI端末,B,RANGE,SECONDARY,2206.00,2225.50,2176.50,2225.50,1086800,2205.06,up,0.57,0.93,true,false,false,true,true,2026-09-10,2026-09-14,3,2110.50,2229.00,5.61,0.970,5.45,1,2026-09-10,2,2095.73,2125.27,0.622,2229.00,2229.00,-0.16,false,true,true,false,2099.95,-5.64,0.569,0.782,1908980,1585840,contracting,レンジ中減少傾向,"MA25の向き: 上向き — MA25 2,205円 > 5日前 2,192円 (+0.6%)
株価 > MA25: 2,226円 > MA25 2,205円 (+0.9%)
高値切り上げ: 直近 2,292円(09/07) <= 前回 2,348円(09/01) (-2.4%)
安値切り上げ: 直近 2,070円(09/08) <= 前回 2,232円(09/03) (-7.3%)
トレンド強度: 0.09 ← 乖離 +0.9%（正規化 0.06 × 重み0.5） + 傾き +0.6%（正規化 0.11 × 重み0.5）","短期レンジ: 3営業日 (09/10〜09/14)
レンジ上限/下限: 下限 2,110円（zone 2,096円〜2,125円） / 上限 2,229円（zone 2,213円〜2,245円）
値幅: 5.6%（許容 1.0%〜10.0%）
下限反応: 下限2,110円±0.7% に 1回反応 (09/10)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.56（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 0.78
レンジ品質: 0.62 ≧ しきい値 0.45（内訳: 値幅 5.6% → 0.49 × 重み0.25 / 1回 / 目標2回 → 0.50 × 重み0.3 / 後半/前半 0.56 → 1.00 × 重み0.2 / レンジ/直前 0.78 → 1.00 × 重み0.15 / 3営業日 → 0.00 × 重み0.1）
検討した window: 3日=採用(品質0.62)、4日=可(品質0.48)、5日=不採用(大陰線＋出来高急増 09/08（実体 -8.0%、出来高 20日平均の1.91倍）)、6日=不採用(値幅が広すぎる（10.7% > 10.0%） / 大陰線＋出来高急増 09/08（実体 -8.0%、出来高 20日平均の1.91倍）)、7日=不採用(値幅が広すぎる（10.7% > 10.0%） / 安値が3本連続で切り下がり（2,245→2,233→2,070） / 大陰線＋出来高急増 09/08（実体 -8.0%、出来高 20日平均の1.91倍）)、8日=不採用(値幅が広すぎる（10.7% > 10.0%） / 安値が3本連続で切り下がり（2,245→2,233→2,070） / 大陰線＋出来高急増 09/08（実体 -8.0%、出来高 20日平均の1.91倍）)、9日=不採用(値幅が広すぎる（12.4% > 10.0%） / 安値が3本連続で切り下がり（2,245→2,233→2,070） / 大陰線＋出来高急増 09/08（実体 -8.0%、出来高 20日平均の1.91倍） / 日々の値幅が拡大中（後半/前半 1.21 > 1.15）)、10日=不採用(値幅が広すぎる（13.4% > 10.0%） / 安値が3本連続で切り下がり（2,247→2,233→2,232） / 大陰線＋出来高急増 09/08（実体 -8.0%、出来高 20日平均の1.91倍） / 日々の値幅が拡大中（後半/前半 1.44 > 1.15）)","反発確認（終値 > 前日高値）: 終値 2,226円 <= 前日高値 2,229円 (-0.2%)
陽線: 始値 2,206円 → 終値 2,226円 (+0.9%)
長い下ヒゲ: 下ヒゲ 29.5 / 実体 19.5 = 1.51（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 1,086,800株 vs 5日平均 1,908,980株（0.57倍、1.2倍以上で回復）
下限までの距離: 終値 2,226円 は 下限 2,110円 から +5.4%
下限付近: レンジ内位置 0.97 が上限寄り（しきい値 0.65、0=下限 / 1=上限）。下限まで +5.4% だが既にレンジ上部にあり、下限反発の買い場ではない
損切り候補: 2,100円 = 下限 2,110円 の 0.5% 下
状態: RANGE — 上昇トレンド＋3営業日のレンジ。ただしレンジ内位置 0.97 と上限寄りで、下限反発の買い場ではない","出来高の状態: レンジ中減少傾向（レンジ平均 1,668,400株 / レンジ前平均 2,133,867株 = 0.78、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 1,086,800株 / 5日平均 1,908,980株（0.57倍）/ 20日平均 1,585,840株",RANGE — 上昇トレンド＋3営業日のレンジ。ただしレンジ内位置 0.97 と上限寄りで、下限反発の買い場ではない
