# 状態遷移の時系列。case 列が CASE2 のものは CASE2 だけに効くイベント（CASE3 は warning_low で降りない）。
code,name,signal_date,day_offset,date,state_before,state_after,kind,price,case,detail
2644,GX 半導体関連-日本株式 ETF,2026-02-18,2,2026-02-24,INITIAL_HOLD,TREND_HOLD,RANGE_UPPER_CLOSE_BREAK,3368.8418,ALL,終値 3368.8 > 元レンジ上限 3354.9 → TREND_HOLD へ。警戒足の判定は翌営業日から開始（解釈(a)）
2644,GX 半導体関連-日本株式 ETF,2026-02-18,4,2026-02-26,TREND_HOLD,WARNING,WARNING_CANDLE,3419.6733,ALL,上限突破後の最初の陰線 O3562.2 C3509.4 / warning_low 3419.7 / reference_high 3567.2（2026-02-26の保有中最高値） / 含み益 +4.76%
2644,GX 半導体関連-日本株式 ETF,2026-02-18,5,2026-02-27,WARNING,WARNING,WARNING_LOW_BREAK,3419.6733,CASE2_WARNING_EXIT,warning_low 3419.7 を下抜け（安値 3381.8）→ 利確候補。CASE2 はここで仮想EXIT、CASE3 は保有を続ける
2644,GX 半導体関連-日本株式 ETF,2026-02-18,5,2026-02-27,WARNING,WARNING,GAP_THROUGH_WARNING_LOW,3418.6766,CASE2_WARNING_EXIT,寄り 3418.7 が warning_low 3419.7 を下回っており、warning_low での約定は仮定できない
2644,GX 半導体関連-日本株式 ETF,2026-02-18,7,2026-03-03,WARNING,WARNING,WARNING_CANDLE_NOT_REPLACED,3298.0762,ALL,WARNING 中の追加陰線 安値 3298.1。警戒足は 2026-02-26 のまま置き換えない（§9）
2644,GX 半導体関連-日本株式 ETF,2026-02-18,8,2026-03-04,WARNING,CLOSED,INITIAL_STOP_EXIT_AFTER_BREAKOUT,3200.3997,ALL,WARNING 中に active_stop 3206.2 へ到達（安値 3071.8）
8015,豊田通商,2026-02-18,0,2026-02-19,INITIAL_HOLD,INITIAL_HOLD,ENTRY,6739.8212,ALL,翌営業日始値 6739.8 で仮想ENTRY（ギャップ +0.65%） / 初期STOP 6383.0 / 元レンジ上限 6910.1
8015,豊田通商,2026-02-18,2,2026-02-24,INITIAL_HOLD,INITIAL_HOLD,RANGE_UPPER_HIGH_ONLY,6927.9181,ALL,高値 6927.9 は上限超だが終値 6899.2 は上限以下 → 状態遷移させない（§3）
8015,豊田通商,2026-02-18,3,2026-02-25,INITIAL_HOLD,TREND_HOLD,RANGE_UPPER_CLOSE_BREAK,7022.9570,ALL,終値 7023.0 > 元レンジ上限 6910.1 → TREND_HOLD へ。警戒足の判定は翌営業日から開始（解釈(a)）
8015,豊田通商,2026-02-18,4,2026-02-26,TREND_HOLD,WARNING,WARNING_CANDLE,6930.8883,ALL,上限突破後の最初の陰線 O7157.6 C6946.7 / warning_low 6930.9 / reference_high 7171.5（2026-02-26の保有中最高値） / 含み益 +3.07%
8015,豊田通商,2026-02-18,5,2026-02-27,WARNING,WARNING,WARNING_LOW_BREAK,6930.8883,CASE2_WARNING_EXIT,warning_low 6930.9 を下抜け（安値 6840.8）→ 利確候補。CASE2 はここで仮想EXIT、CASE3 は保有を続ける
