as_of_date,code,name,sector,theme,watch_priority,status,candidate_group,open,high,low,close,volume,ma25,ma25_direction,ma25_slope_pct,ma25_deviation_pct,close_above_ma25,higher_high,higher_low,trend_is_uptrend,range_found,range_start,range_end,range_days,range_lower,range_upper,range_width_pct,range_position,lower_distance_pct,lower_reaction_count,lower_reaction_dates,days_since_lower_touch,range_lower_zone_low,range_lower_zone_high,range_quality,previous_day_high,entry_trigger,entry_trigger_margin_pct,rebound_confirmed,bullish_candle,long_lower_wick,volume_recovered,initial_stop,stop_distance_pct,volume_ratio,volume_range_vs_pre_ratio,volume_avg5,volume_avg20,volume_evaluation,volume_evaluation_label,trend_reason,range_reason,entry_reason,volume_reason,status_reason
2026-09-10,8002,丸紅,卸売業,商社・資源,A,NEAR,PRIMARY,5080.00,5082.00,4995.00,5019.00,4958800,4987.84,up,0.11,0.62,true,true,true,true,true,2026-09-04,2026-09-10,5,4995.00,5226.00,4.62,0.104,0.48,2,2026-09-04|2026-09-10,0,4960.03,5029.96,0.762,5199.00,5199.00,-3.46,false,false,false,false,4970.02,-0.98,1.183,0.848,4190420,3870500,neutral,横ばい,"MA25の向き: 上向き — MA25 4,988円 > 5日前 4,982円 (+0.1%)
株価 > MA25: 5,019円 > MA25 4,988円 (+0.6%)
高値切り上げ: 直近 5,261円(09/03) > 前回 5,007円(08/24) (+5.1%)
安値切り上げ: 直近 4,812円(08/31) > 前回 4,745円(08/19) (+1.4%)
トレンド強度: 0.03 ← 乖離 +0.6%（正規化 0.04 × 重み0.5） + 傾き +0.1%（正規化 0.02 × 重み0.5）","短期レンジ: 5営業日 (09/04〜09/10)
レンジ上限/下限: 下限 4,995円（zone 4,960円〜5,030円） / 上限 5,226円（zone 5,189円〜5,263円）
値幅: 4.6%（許容 1.0%〜10.0%）
下限反応: 下限4,995円±0.7% に 2回反応 (09/04, 09/10)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.74（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 0.85
レンジ品質: 0.76 ≧ しきい値 0.45（内訳: 値幅 4.6% → 0.60 × 重み0.25 / 2回 / 目標2回 → 1.00 × 重み0.3 / 後半/前半 0.74 → 0.74 × 重み0.2 / レンジ/直前 0.85 → 0.90 × 重み0.15 / 5営業日 → 0.29 × 重み0.1）
検討した window: 3日=可(品質0.63)、4日=可(品質0.52)、5日=採用(品質0.76)、6日=可(品質0.69)、7日=可(品質0.70)、8日=可(品質0.52)、9日=不採用(レンジ品質が不足（0.41 < 0.45）)、10日=不採用(レンジ品質が不足（0.33 < 0.45）)","反発確認（終値 > 前日高値）: 終値 5,019円 <= 前日高値 5,199円 (-3.5%)
陽線: 始値 5,080円 → 終値 5,019円 (-1.2%)
長い下ヒゲ: 下ヒゲ 24.0 / 実体 61.0 = 0.39（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 4,958,800株 vs 5日平均 4,190,420株（1.18倍、1.2倍以上で回復）
下限までの距離: 終値 5,019円 は 下限 4,995円 から +0.5%
下限付近: 距離 +0.5% <= しきい値 2.0%
損切り候補: 4,970円 = 下限 4,995円 の 0.5% 下
状態: NEAR — 上昇トレンド＋レンジ下限付近（下限まで +0.5%）。反発確認はまだ＝最重要監視候補","出来高の状態: 横ばい（レンジ平均 4,190,420株 / レンジ前平均 4,943,520株 = 0.85、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 4,958,800株 / 5日平均 4,190,420株（1.18倍）/ 20日平均 3,870,500株",NEAR — 上昇トレンド＋レンジ下限付近（下限まで +0.5%）。反発確認はまだ＝最重要監視候補
2026-09-10,9513,J-POWER,電気・ガス業,電力・エネルギーインフラ,B,NEAR,PRIMARY,4177.00,4193.00,4104.00,4132.00,453700,4014.68,up,1.51,2.92,true,true,true,true,true,2026-09-04,2026-09-10,5,4058.00,4193.00,3.33,0.548,1.82,2,2026-09-04|2026-09-08,2,4029.59,4086.41,0.784,4180.00,4180.00,-1.15,false,false,false,false,4037.71,-2.28,1.029,0.786,441100,482005,contracting,レンジ中減少傾向,"MA25の向き: 上向き — MA25 4,015円 > 5日前 3,955円 (+1.5%)
株価 > MA25: 4,132円 > MA25 4,015円 (+2.9%)
高値切り上げ: 直近 4,249円(09/03) > 前回 3,926円(08/07) (+8.2%)
安値切り上げ: 直近 4,058円(09/04) > 前回 3,950円(08/28) (+2.7%)
トレンド強度: 0.25 ← 乖離 +2.9%（正規化 0.19 × 重み0.5） + 傾き +1.5%（正規化 0.30 × 重み0.5）","短期レンジ: 5営業日 (09/04〜09/10)
レンジ上限/下限: 下限 4,058円（zone 4,030円〜4,086円） / 上限 4,193円（zone 4,164円〜4,222円）
値幅: 3.3%（許容 1.0%〜10.0%）
下限反応: 下限4,058円±0.7% に 2回反応 (09/04, 09/08)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.82（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 0.79
レンジ品質: 0.78 ≧ しきい値 0.45（内訳: 値幅 3.3% → 0.74 × 重み0.25 / 2回 / 目標2回 → 1.00 × 重み0.3 / 後半/前半 0.82 → 0.60 × 重み0.2 / レンジ/直前 0.79 → 1.00 × 重み0.15 / 5営業日 → 0.29 × 重み0.1）
検討した window: 3日=不採用(日々の値幅が拡大中（後半/前半 1.47 > 1.15）)、4日=不採用(日々の値幅が拡大中（後半/前半 1.30 > 1.15）)、5日=採用(品質0.78)、6日=可(品質0.71)、7日=可(品質0.76)、8日=可(品質0.78)、9日=可(品質0.58)、10日=可(品質0.52)","反発確認（終値 > 前日高値）: 終値 4,132円 <= 前日高値 4,180円 (-1.1%)
陽線: 始値 4,177円 → 終値 4,132円 (-1.1%)
長い下ヒゲ: 下ヒゲ 28.0 / 実体 45.0 = 0.62（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 453,700株 vs 5日平均 441,100株（1.03倍、1.2倍以上で回復）
下限までの距離: 終値 4,132円 は 下限 4,058円 から +1.8%
下限付近: 距離 +1.8% <= しきい値 2.0%
損切り候補: 4,038円 = 下限 4,058円 の 0.5% 下
状態: NEAR — 上昇トレンド＋レンジ下限付近（下限まで +1.8%）。反発確認はまだ＝最重要監視候補","出来高の状態: レンジ中減少傾向（レンジ平均 441,100株 / レンジ前平均 561,220株 = 0.79、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 453,700株 / 5日平均 441,100株（1.03倍）/ 20日平均 482,005株",NEAR — 上昇トレンド＋レンジ下限付近（下限まで +1.8%）。反発確認はまだ＝最重要監視候補
2026-09-10,8031,三井物産,卸売業,商社・資源,A,NEAR,PRIMARY,5144.00,5151.00,5072.00,5093.00,5770000,4962.32,up,0.99,2.63,true,true,true,true,true,2026-09-04,2026-09-10,5,4990.00,5168.00,3.57,0.579,2.06,2,2026-09-04|2026-09-08,2,4955.07,5024.93,0.752,5168.00,5168.00,-1.45,false,false,false,false,4965.05,-2.51,0.871,0.901,6622400,5859300,neutral,横ばい,"MA25の向き: 上向き — MA25 4,962円 > 5日前 4,914円 (+1.0%)
株価 > MA25: 5,093円 > MA25 4,962円 (+2.6%)
高値切り上げ: 直近 5,333円(09/03) > 前回 4,995円(08/25) (+6.8%)
安値切り上げ: 直近 4,990円(09/04) > 前回 4,846円(08/27) (+3.0%)
トレンド強度: 0.19 ← 乖離 +2.6%（正規化 0.18 × 重み0.5） + 傾き +1.0%（正規化 0.20 × 重み0.5）","短期レンジ: 5営業日 (09/04〜09/10)
レンジ上限/下限: 下限 4,990円（zone 4,955円〜5,025円） / 上限 5,168円（zone 5,132円〜5,204円）
値幅: 3.6%（許容 1.0%〜10.0%）
下限反応: 下限4,990円±0.7% に 2回反応 (09/04, 09/08)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.81（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 0.90
レンジ品質: 0.75 ≧ しきい値 0.45（内訳: 値幅 3.6% → 0.71 × 重み0.25 / 2回 / 目標2回 → 1.00 × 重み0.3 / 後半/前半 0.81 → 0.63 × 重み0.2 / レンジ/直前 0.90 → 0.80 × 重み0.15 / 5営業日 → 0.29 × 重み0.1）
検討した window: 3日=可(品質0.69)、4日=可(品質0.68)、5日=採用(品質0.75)、6日=可(品質0.60)、7日=可(品質0.58)、8日=可(品質0.64)、9日=可(品質0.46)、10日=不採用(レンジ品質が不足（0.44 < 0.45）)","反発確認（終値 > 前日高値）: 終値 5,093円 <= 前日高値 5,168円 (-1.5%)
陽線: 始値 5,144円 → 終値 5,093円 (-1.0%)
長い下ヒゲ: 下ヒゲ 21.0 / 実体 51.0 = 0.41（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 5,770,000株 vs 5日平均 6,622,400株（0.87倍、1.2倍以上で回復）
下限までの距離: 終値 5,093円 は 下限 4,990円 から +2.1%
下限付近: 距離 +2.1% > しきい値 2.0% だが 2営業日前（09/08）に下限zone 5,025円 以下へ接触（lookback 3営業日）
損切り候補: 4,965円 = 下限 4,990円 の 0.5% 下
状態: NEAR — 上昇トレンド＋レンジ下限付近（下限まで +2.1%）。反発確認はまだ＝最重要監視候補","出来高の状態: 横ばい（レンジ平均 6,622,400株 / レンジ前平均 7,352,520株 = 0.90、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 5,770,000株 / 5日平均 6,622,400株（0.87倍）/ 20日平均 5,859,300株",NEAR — 上昇トレンド＋レンジ下限付近（下限まで +2.1%）。反発確認はまだ＝最重要監視候補
2026-09-10,8001,伊藤忠,卸売業,商社・資源,A,NEAR,PRIMARY,2289.00,2299.50,2258.00,2283.00,16511700,2121.76,up,2.58,7.60,true,true,true,true,true,2026-09-08,2026-09-10,3,2223.50,2326.50,4.63,0.578,2.68,1,2026-09-08,2,2207.94,2239.06,0.589,2326.50,2326.50,-1.87,false,false,true,false,2212.38,-3.09,0.905,0.999,18240860,13952860,neutral,横ばい,"MA25の向き: 上向き — MA25 2,122円 > 5日前 2,068円 (+2.6%)
株価 > MA25: 2,283円 > MA25 2,122円 (+7.6%)
高値切り上げ: 直近 2,114円(08/12) > 前回 2,048円(07/29) (+3.2%)
安値切り上げ: 直近 2,096円(08/31) > 前回 1,960円(08/18) (+6.9%)
トレンド強度: 0.51 ← 乖離 +7.6%（正規化 0.51 × 重み0.5） + 傾き +2.6%（正規化 0.52 × 重み0.5）","短期レンジ: 3営業日 (09/08〜09/10)
レンジ上限/下限: 下限 2,224円（zone 2,208円〜2,239円） / 上限 2,326円（zone 2,310円〜2,343円）
値幅: 4.6%（許容 1.0%〜10.0%）
下限反応: 下限2,224円±0.7% に 1回反応 (09/08)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.56（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 1.00
レンジ品質: 0.59 ≧ しきい値 0.45（内訳: 値幅 4.6% → 0.60 × 重み0.25 / 1回 / 目標2回 → 0.50 × 重み0.3 / 後半/前半 0.56 → 1.00 × 重み0.2 / レンジ/直前 1.00 → 0.60 × 重み0.15 / 3営業日 → 0.00 × 重み0.1）
検討した window: 3日=採用(品質0.59)、4日=可(品質0.51)、5日=不採用(レンジ品質が不足（0.44 < 0.45）)、6日=不採用(レンジ品質が不足（0.33 < 0.45）)、7日=不採用(レンジ品質が不足（0.25 < 0.45）)、8日=不採用(値幅が広すぎる（10.6% > 10.0%）)、9日=不採用(値幅が広すぎる（11.0% > 10.0%）)、10日=不採用(値幅が広すぎる（11.0% > 10.0%） / 日々の値幅が拡大中（後半/前半 1.21 > 1.15）)","反発確認（終値 > 前日高値）: 終値 2,283円 <= 前日高値 2,326円 (-1.9%)
陽線: 始値 2,289円 → 終値 2,283円 (-0.3%)
長い下ヒゲ: 下ヒゲ 25.0 / 実体 6.0 = 4.17（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 16,511,700株 vs 5日平均 18,240,860株（0.91倍、1.2倍以上で回復）
下限までの距離: 終値 2,283円 は 下限 2,224円 から +2.7%
下限付近: 距離 +2.7% > しきい値 2.0% だが 2営業日前（09/08）に下限zone 2,239円 以下へ接触（lookback 3営業日）
損切り候補: 2,212円 = 下限 2,224円 の 0.5% 下
状態: NEAR — 上昇トレンド＋レンジ下限付近（下限まで +2.7%）。反発確認はまだ＝最重要監視候補","出来高の状態: 横ばい（レンジ平均 18,177,400株 / レンジ前平均 18,200,967株 = 1.00、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 16,511,700株 / 5日平均 18,240,860株（0.91倍）/ 20日平均 13,952,860株",NEAR — 上昇トレンド＋レンジ下限付近（下限まで +2.7%）。反発確認はまだ＝最重要監視候補
2026-09-10,7182,ゆうちょ銀行,銀行業,銀行・金利上昇,B,NEAR,PRIMARY,3222.00,3317.00,3210.00,3299.00,4898500,3261.84,up,1.10,1.14,true,true,true,true,true,2026-09-08,2026-09-10,3,3210.00,3353.00,4.45,0.622,2.77,1,2026-09-09,0,3187.53,3232.47,0.461,3301.00,3301.00,-0.06,false,true,false,false,3193.95,-3.18,0.890,0.755,5505140,5617365,contracting,レンジ中減少傾向,"MA25の向き: 上向き — MA25 3,262円 > 5日前 3,226円 (+1.1%)
株価 > MA25: 3,299円 > MA25 3,262円 (+1.1%)
高値切り上げ: 直近 3,455円(09/03) > 前回 3,360円(08/18) (+2.8%)
安値切り上げ: 直近 3,110円(08/21) > 前回 3,036円(08/10) (+2.4%)
トレンド強度: 0.15 ← 乖離 +1.1%（正規化 0.08 × 重み0.5） + 傾き +1.1%（正規化 0.22 × 重み0.5）","短期レンジ: 3営業日 (09/08〜09/10)
レンジ上限/下限: 下限 3,210円（zone 3,188円〜3,232円） / 上限 3,353円（zone 3,330円〜3,376円）
値幅: 4.5%（許容 1.0%〜10.0%）
下限反応: 下限3,210円±0.7% に 1回反応 (09/09)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 1.13（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 0.75
レンジ品質: 0.46 ≧ しきい値 0.45（内訳: 値幅 4.5% → 0.62 × 重み0.25 / 1回 / 目標2回 → 0.50 × 重み0.3 / 後半/前半 1.13 → 0.03 × 重み0.2 / レンジ/直前 0.75 → 1.00 × 重み0.15 / 3営業日 → 0.00 × 重み0.1）
検討した window: 3日=採用(品質0.46)、4日=不採用(安値が3本連続で切り下がり（3,326→3,257→3,210）)、5日=不採用(安値が3本連続で切り下がり（3,326→3,257→3,210）)、6日=不採用(安値が3本連続で切り下がり（3,326→3,257→3,210）)、7日=不採用(安値が3本連続で切り下がり（3,326→3,257→3,210） / 日々の値幅が拡大中（後半/前半 1.16 > 1.15）)、8日=不採用(安値が3本連続で切り下がり（3,326→3,257→3,210）)、9日=不採用(安値が3本連続で切り下がり（3,326→3,257→3,210）)、10日=不採用(安値が3本連続で切り下がり（3,326→3,257→3,210）)","反発確認（終値 > 前日高値）: 終値 3,299円 <= 前日高値 3,301円 (-0.1%)
陽線: 始値 3,222円 → 終値 3,299円 (+2.4%)
長い下ヒゲ: 下ヒゲ 12.0 / 実体 77.0 = 0.16（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 4,898,500株 vs 5日平均 5,505,140株（0.89倍、1.2倍以上で回復）
下限までの距離: 終値 3,299円 は 下限 3,210円 から +2.8%
下限付近: 距離 +2.8% > しきい値 2.0% だが 0営業日前（09/10）に下限zone 3,232円 以下へ接触（lookback 3営業日）
損切り候補: 3,194円 = 下限 3,210円 の 0.5% 下
状態: NEAR — 上昇トレンド＋レンジ下限付近（下限まで +2.8%）。反発確認はまだ＝最重要監視候補","出来高の状態: レンジ中減少傾向（レンジ平均 4,791,867株 / レンジ前平均 6,350,033株 = 0.75、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 4,898,500株 / 5日平均 5,505,140株（0.89倍）/ 20日平均 5,617,365株",NEAR — 上昇トレンド＋レンジ下限付近（下限まで +2.8%）。反発確認はまだ＝最重要監視候補
2026-09-10,8058,三菱商事,卸売業,商社・資源,A,RANGE,SECONDARY,5001.00,5045.00,4944.00,4987.00,7541100,4834.76,up,0.94,3.15,true,true,true,true,true,2026-09-08,2026-09-10,3,4833.00,5045.00,4.39,0.726,3.19,1,2026-09-08,2,4799.17,4866.83,0.656,5043.00,5043.00,-1.11,false,false,true,false,4808.84,-3.57,0.884,0.669,8532500,7554095,contracting,レンジ中減少傾向,"MA25の向き: 上向き — MA25 4,835円 > 5日前 4,790円 (+0.9%)
株価 > MA25: 4,987円 > MA25 4,835円 (+3.1%)
高値切り上げ: 直近 5,123円(09/03) > 前回 4,812円(08/25) (+6.5%)
安値切り上げ: 直近 4,833円(09/08) > 前回 4,692円(08/27) (+3.0%)
トレンド強度: 0.20 ← 乖離 +3.1%（正規化 0.21 × 重み0.5） + 傾き +0.9%（正規化 0.19 × 重み0.5）","短期レンジ: 3営業日 (09/08〜09/10)
レンジ上限/下限: 下限 4,833円（zone 4,799円〜4,867円） / 上限 5,045円（zone 5,010円〜5,080円）
値幅: 4.4%（許容 1.0%〜10.0%）
下限反応: 下限4,833円±0.7% に 1回反応 (09/08)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.59（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 0.67
レンジ品質: 0.66 ≧ しきい値 0.45（内訳: 値幅 4.4% → 0.62 × 重み0.25 / 1回 / 目標2回 → 0.50 × 重み0.3 / 後半/前半 0.59 → 1.00 × 重み0.2 / レンジ/直前 0.67 → 1.00 × 重み0.15 / 3営業日 → 0.00 × 重み0.1）
検討した window: 3日=採用(品質0.66)、4日=可(品質0.59)、5日=可(品質0.58)、6日=不採用(レンジ品質が不足（0.44 < 0.45）)、7日=可(品質0.58)、8日=不採用(レンジ品質が不足（0.44 < 0.45）)、9日=不採用(レンジ品質が不足（0.37 < 0.45）)、10日=不採用(レンジ品質が不足（0.32 < 0.45）)","反発確認（終値 > 前日高値）: 終値 4,987円 <= 前日高値 5,043円 (-1.1%)
陽線: 始値 5,001円 → 終値 4,987円 (-0.3%)
長い下ヒゲ: 下ヒゲ 43.0 / 実体 14.0 = 3.07（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 7,541,100株 vs 5日平均 8,532,500株（0.88倍、1.2倍以上で回復）
下限までの距離: 終値 4,987円 は 下限 4,833円 から +3.2%
下限付近: レンジ内位置 0.73 が上限寄り（しきい値 0.65、0=下限 / 1=上限）。下限まで +3.2% だが既にレンジ上部にあり、下限反発の買い場ではない
損切り候補: 4,809円 = 下限 4,833円 の 0.5% 下
状態: RANGE — 上昇トレンド＋3営業日のレンジ。ただしレンジ内位置 0.73 と上限寄りで、下限反発の買い場ではない","出来高の状態: レンジ中減少傾向（レンジ平均 7,534,533株 / レンジ前平均 11,267,900株 = 0.67、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 7,541,100株 / 5日平均 8,532,500株（0.88倍）/ 20日平均 7,554,095株",RANGE — 上昇トレンド＋3営業日のレンジ。ただしレンジ内位置 0.73 と上限寄りで、下限反発の買い場ではない
2026-09-10,9502,中部電力,電気・ガス業,電力・エネルギーインフラ,A,RANGE,SECONDARY,3086.00,3112.00,3015.00,3053.00,2437800,2877.64,up,1.99,6.09,true,true,true,true,true,2026-08-31,2026-09-10,9,2830.50,3112.00,9.95,0.790,7.86,2,2026-08-31|2026-09-02,6,2810.69,2850.31,0.599,3070.00,3070.00,-0.55,false,false,false,false,2816.35,-7.75,1.072,1.043,2274920,2866310,neutral,横ばい,"MA25の向き: 上向き — MA25 2,878円 > 5日前 2,821円 (+2.0%)
株価 > MA25: 3,053円 > MA25 2,878円 (+6.1%)
高値切り上げ: 直近 2,999円(09/01) > 前回 2,968円(08/26) (+1.0%)
安値切り上げ: 直近 2,830円(09/02) > 前回 2,830円(08/28) (+0.0%)
トレンド強度: 0.40 ← 乖離 +6.1%（正規化 0.41 × 重み0.5） + 傾き +2.0%（正規化 0.40 × 重み0.5）","短期レンジ: 9営業日 (08/31〜09/10)
レンジ上限/下限: 下限 2,830円（zone 2,811円〜2,850円） / 上限 3,112円（zone 3,090円〜3,134円）
値幅: 9.9%（許容 1.0%〜10.0%）
下限反応: 下限2,830円±0.7% に 2回反応 (08/31, 09/02)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.78（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 1.04
レンジ品質: 0.60 ≧ しきい値 0.45（内訳: 値幅 9.9% → 0.01 × 重み0.25 / 2回 / 目標2回 → 1.00 × 重み0.3 / 後半/前半 0.78 → 0.67 × 重み0.2 / レンジ/直前 1.04 → 0.51 × 重み0.15 / 9営業日 → 0.86 × 重み0.1）
検討した window: 3日=不採用(日々の値幅が拡大中（後半/前半 1.45 > 1.15）)、4日=不採用(日々の値幅が拡大中（後半/前半 1.70 > 1.15）)、5日=不採用(日々の値幅が拡大中（後半/前半 1.64 > 1.15）)、6日=不採用(日々の値幅が拡大中（後半/前半 1.19 > 1.15）)、7日=不採用(レンジ品質が不足（0.38 < 0.45）)、8日=可(品質0.49)、9日=採用(品質0.60)、10日=可(品質0.60)","反発確認（終値 > 前日高値）: 終値 3,053円 <= 前日高値 3,070円 (-0.6%)
陽線: 始値 3,086円 → 終値 3,053円 (-1.1%)
長い下ヒゲ: 下ヒゲ 38.0 / 実体 33.0 = 1.15（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 2,437,800株 vs 5日平均 2,274,920株（1.07倍、1.2倍以上で回復）
下限までの距離: 終値 3,053円 は 下限 2,830円 から +7.9%
下限付近: レンジ内位置 0.79 が上限寄り（しきい値 0.65、0=下限 / 1=上限）。下限まで +7.9% だが既にレンジ上部にあり、下限反発の買い場ではない
損切り候補: 2,816円 = 下限 2,830円 の 0.5% 下
状態: RANGE — 上昇トレンド＋9営業日のレンジ。ただしレンジ内位置 0.79 と上限寄りで、下限反発の買い場ではない","出来高の状態: 横ばい（レンジ平均 2,942,611株 / レンジ前平均 2,822,356株 = 1.04、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 2,437,800株 / 5日平均 2,274,920株（1.07倍）/ 20日平均 2,866,310株",RANGE — 上昇トレンド＋9営業日のレンジ。ただしレンジ内位置 0.79 と上限寄りで、下限反発の買い場ではない
