# 保有中に出現した陰線（close < open）の一覧。§30 の警戒足ルールは機械定義が未確定のため、ここでは売却判定をしていない。 change_pct / body_to_atr / volume_ratio / close_pos_in_day_range はMANUAL_EXIT_REVIEW（人間がチャート確認）のための参考指標であり閾値は設けていない。
code,name,signal_date,date,day_offset,is_first,open,high,low,close,volume,broke_low_date,broke_low_day_offset,days_from_candle_to_break,new_high_vs_candle_high_before_break,new_high_vs_position_peak_before_break,change_pct,body_pct,body_to_atr,volume_ratio,close_pos_in_day_range,manual_exit_review
6361,荏原,2026-04-20,2026-05-19,16,false,5369.4897,5425.1939,5093.9527,5125.7837,3194200,2026-05-20,17,1,false,false,-3.6642,4.5387,0.8558,0.9764,0.0961,true
6361,荏原,2026-04-20,2026-05-20,17,false,4953.6974,5026.3118,4844.2784,4908.9351,4155100,,,,false,false,-4.2305,0.9036,0.1537,1.2688,0.3552,true
6383,ダイフク,2026-04-20,2026-04-21,0,true,6417.9592,6453.7582,6365.2552,6371.2217,1198000,2026-04-22,1,1,false,false,-0.6050,0.7282,0.2559,0.6937,0.0674,true
6525,KOKUSAI ELECTRIC,2026-04-27,2026-04-28,0,true,6673.0000,6742.0000,6451.0000,6512.0000,4414000,,,,false,false,-3.2536,2.4127,0.3960,0.7889,0.2096,true
6645,オムロン,2026-05-22,2026-05-25,0,true,5680.0000,5771.0000,5600.0000,5641.0000,1302000,2026-05-26,1,1,false,false,2.9380,0.6866,0.1378,0.7156,0.2398,true
6645,オムロン,2026-05-22,2026-05-26,1,false,5643.0000,5680.0000,5454.0000,5495.0000,1399400,2026-05-27,2,1,false,false,-2.5882,2.6227,0.5117,0.7636,0.1814,true
6645,オムロン,2026-05-22,2026-05-27,2,false,5536.0000,5616.0000,5364.0000,5382.0000,1455300,2026-05-28,3,1,false,false,-2.0564,2.7818,0.5641,0.7976,0.0714,true
6645,オムロン,2026-05-22,2026-05-29,4,false,5778.0000,5867.0000,5672.0000,5744.0000,1864800,2026-06-09,11,7,true,true,2.6264,0.5884,0.1214,0.9871,0.3692,true
6645,オムロン,2026-05-22,2026-06-02,6,false,6030.0000,6042.0000,5758.0000,5833.0000,1888000,2026-06-08,10,4,true,true,-3.9993,3.2670,0.6651,0.9689,0.2641,true
6645,オムロン,2026-05-22,2026-06-05,9,false,6379.0000,6379.0000,6072.0000,6162.0000,1244500,2026-06-08,10,1,false,false,-1.1232,3.4018,0.7406,0.6393,0.2932,true
6645,オムロン,2026-05-22,2026-06-08,10,false,5865.0000,5942.0000,5725.0000,5862.0000,1989800,2026-06-09,11,1,false,false,-4.8685,0.0512,0.0098,1.0099,0.6313,true
6645,オムロン,2026-05-22,2026-06-09,11,false,5925.0000,5959.0000,5619.0000,5746.0000,1563100,2026-06-10,12,1,false,false,-1.9788,3.0211,0.5757,0.8150,0.3735,true
6645,オムロン,2026-05-22,2026-06-10,12,false,5677.0000,5677.0000,5436.0000,5487.0000,1863200,2026-06-11,13,1,false,false,-4.5075,3.3468,0.5895,0.9657,0.2116,true
6645,オムロン,2026-05-22,2026-06-12,14,false,5772.0000,5780.0000,5479.0000,5490.0000,1738200,2026-06-17,17,3,true,false,-1.5776,4.8857,0.8324,0.9170,0.0365,true
6645,オムロン,2026-05-22,2026-06-16,16,false,5789.0000,5834.0000,5665.0000,5696.0000,1018100,2026-06-17,17,1,false,false,-1.9959,1.6065,0.2732,0.5641,0.1834,true
6645,オムロン,2026-05-22,2026-06-22,20,false,6195.0000,6240.0000,6060.0000,6101.0000,1170500,2026-06-23,21,1,false,false,-0.5380,1.5174,0.2897,0.6915,0.2278,true
6645,オムロン,2026-05-22,2026-06-23,21,false,6119.0000,6136.0000,5764.0000,5764.0000,1462700,2026-06-24,22,1,false,false,-5.5237,5.8016,1.1119,0.8672,0.0000,true
6645,オムロン,2026-05-22,2026-06-24,22,false,5750.0000,5842.0000,5660.0000,5697.0000,917900,2026-06-26,24,2,true,false,-1.1624,0.9217,0.1709,0.5529,0.2033,true
6645,オムロン,2026-05-22,2026-06-25,23,false,5847.0000,5899.0000,5729.0000,5831.0000,977900,2026-06-26,24,1,false,false,2.3521,0.2736,0.0529,0.5950,0.6000,true
6645,オムロン,2026-05-22,2026-06-26,24,false,5738.0000,5756.0000,5502.0000,5612.0000,1567100,2026-06-29,25,1,false,false,-3.7558,2.1959,0.4273,0.9530,0.4331,true
6645,オムロン,2026-05-22,2026-07-07,31,false,6001.0000,6111.0000,5792.0000,5810.0000,1683100,2026-07-08,32,1,false,false,-5.8957,3.1828,0.7087,1.0909,0.0564,true
6645,オムロン,2026-05-22,2026-07-13,35,false,6013.0000,6016.0000,5596.0000,5623.0000,1289400,2026-07-14,36,1,false,false,-6.4393,6.4859,1.4785,0.8685,0.0643,true
6645,オムロン,2026-05-22,2026-07-15,37,false,5702.0000,5736.0000,5633.0000,5698.0000,750900,2026-07-16,38,1,false,false,1.1719,0.0702,0.0155,0.5271,0.6311,true
6645,オムロン,2026-05-22,2026-07-16,38,false,5600.0000,5852.0000,5553.0000,5594.0000,1664900,2026-07-17,39,1,false,false,-1.8252,0.1071,0.0235,1.2046,0.1371,true
