as_of_date,code,name,sector,theme,watch_priority,status,candidate_group,open,high,low,close,volume,ma25,ma25_direction,ma25_slope_pct,ma25_deviation_pct,close_above_ma25,higher_high,higher_low,trend_is_uptrend,range_found,range_start,range_end,range_days,range_lower,range_upper,range_width_pct,range_position,lower_distance_pct,lower_reaction_count,lower_reaction_dates,days_since_lower_touch,range_lower_zone_low,range_lower_zone_high,range_quality,previous_day_high,entry_trigger,entry_trigger_margin_pct,rebound_confirmed,bullish_candle,long_lower_wick,volume_recovered,initial_stop,stop_distance_pct,volume_ratio,volume_range_vs_pre_ratio,volume_avg5,volume_avg20,volume_evaluation,volume_evaluation_label,trend_reason,range_reason,entry_reason,volume_reason,status_reason
2026-09-24,1820,西松建設,建設業,建設・国土強靭化,B,RANGE,SECONDARY,5718.00,5727.00,5666.00,5692.00,116400,5577.36,up,0.62,2.06,true,true,false,true,true,2026-09-16,2026-09-24,4,5558.00,5751.00,3.47,0.694,2.41,1,2026-09-16,3,5519.09,5596.91,0.584,5745.00,5745.00,-0.92,false,false,false,false,5530.21,-2.84,0.901,1.037,129180,122965,neutral,横ばい,"MA25の向き: 上向き — MA25 5,577円 > 5日前 5,543円 (+0.6%)
株価 > MA25: 5,692円 > MA25 5,577円 (+2.1%)
高値切り上げ: 直近 5,751円(09/17) > 前回 5,672円(09/07) (+1.4%)
安値切り上げ: 直近 5,420円(09/11) <= 前回 5,508円(08/28) (-1.6%)
トレンド強度: 0.13 ← 乖離 +2.1%（正規化 0.14 × 重み0.5） + 傾き +0.6%（正規化 0.12 × 重み0.5）","短期レンジ: 4営業日 (09/16〜09/24)
レンジ上限/下限: 下限 5,558円（zone 5,519円〜5,597円） / 上限 5,751円（zone 5,711円〜5,791円）
値幅: 3.5%（許容 1.0%〜10.0%）
下限反応: 下限5,558円±0.7% に 1回反応 (09/16)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.71（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 1.04
レンジ品質: 0.58 ≧ しきい値 0.45（内訳: 値幅 3.5% → 0.73 × 重み0.25 / 1回 / 目標2回 → 0.50 × 重み0.3 / 後半/前半 0.71 → 0.80 × 重み0.2 / レンジ/直前 1.04 → 0.53 × 重み0.15 / 4営業日 → 0.14 × 重み0.1）
検討した window: 3日=可(品質0.58)、4日=採用(品質0.58)、5日=不採用(レンジ品質が不足（0.42 < 0.45）)、6日=不採用(日々の値幅が拡大中（後半/前半 1.16 > 1.15）)、7日=可(品質0.49)、8日=可(品質0.55)、9日=不採用(安値が3本連続で切り下がり（5,568→5,493→5,420）)、10日=不採用(安値が3本連続で切り下がり（5,568→5,493→5,420）)","反発確認（終値 > 前日高値）: 終値 5,692円 <= 前日高値 5,745円 (-0.9%)
陽線: 始値 5,718円 → 終値 5,692円 (-0.5%)
長い下ヒゲ: 下ヒゲ 26.0 / 実体 26.0 = 1.00（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 116,400株 vs 5日平均 129,180株（0.90倍、1.2倍以上で回復）
下限までの距離: 終値 5,692円 は 下限 5,558円 から +2.4%
下限付近: レンジ内位置 0.69 が上限寄り（しきい値 0.65、0=下限 / 1=上限）。下限まで +2.4% だが既にレンジ上部にあり、下限反発の買い場ではない
損切り候補: 5,530円 = 下限 5,558円 の 0.5% 下
状態: RANGE — 上昇トレンド＋4営業日のレンジ。ただしレンジ内位置 0.69 と上限寄りで、下限反発の買い場ではない","出来高の状態: 横ばい（レンジ平均 122,550株 / レンジ前平均 118,225株 = 1.04、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 116,400株 / 5日平均 129,180株（0.90倍）/ 20日平均 122,965株",RANGE — 上昇トレンド＋4営業日のレンジ。ただしレンジ内位置 0.69 と上限寄りで、下限反発の買い場ではない
2026-09-24,6702,富士通,電気機器,AIインフラ・通信,A,RANGE,SECONDARY,3839.00,4028.00,3839.00,3993.00,7921500,3819.32,up,1.26,4.55,true,true,false,true,true,2026-09-14,2026-09-24,6,3819.00,4075.00,6.70,0.680,4.56,2,2026-09-14|2026-09-24,0,3792.27,3845.73,0.540,4014.00,4014.00,-0.52,false,true,false,false,3799.91,-4.84,1.035,1.298,7650580,6744185,neutral,横ばい,"MA25の向き: 上向き — MA25 3,819円 > 5日前 3,772円 (+1.3%)
株価 > MA25: 3,993円 > MA25 3,819円 (+4.5%)
高値切り上げ: 直近 4,075円(09/15) > 前回 3,947円(09/04) (+3.2%)
安値切り上げ: 直近 3,664円(09/10) <= 前回 3,773円(09/03) (-2.9%)
トレンド強度: 0.28 ← 乖離 +4.5%（正規化 0.30 × 重み0.5） + 傾き +1.3%（正規化 0.25 × 重み0.5）","短期レンジ: 6営業日 (09/14〜09/24)
レンジ上限/下限: 下限 3,819円（zone 3,792円〜3,846円） / 上限 4,075円（zone 4,046円〜4,104円）
値幅: 6.7%（許容 1.0%〜10.0%）
下限反応: 下限3,819円±0.7% に 2回反応 (09/14, 09/24)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.86（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 1.30
レンジ品質: 0.54 ≧ しきい値 0.45（内訳: 値幅 6.7% → 0.37 × 重み0.25 / 2回 / 目標2回 → 1.00 × 重み0.3 / 後半/前半 0.86 → 0.53 × 重み0.2 / レンジ/直前 1.30 → 0.00 × 重み0.15 / 6営業日 → 0.43 × 重み0.1）
検討した window: 3日=不採用(日々の値幅が拡大中（後半/前半 1.87 > 1.15）)、4日=不採用(日々の値幅が拡大中（後半/前半 1.49 > 1.15）)、5日=不採用(日々の値幅が拡大中（後半/前半 1.22 > 1.15）)、6日=採用(品質0.54)、7日=不採用(レンジ品質が不足（0.31 < 0.45）)、8日=不採用(値幅が広すぎる（11.2% > 10.0%）)、9日=不採用(値幅が広すぎる（11.2% > 10.0%）)、10日=不採用(値幅が広すぎる（11.2% > 10.0%） / 安値が3本連続で切り下がり（3,752→3,718→3,664）)","反発確認（終値 > 前日高値）: 終値 3,993円 <= 前日高値 4,014円 (-0.5%)
陽線: 始値 3,839円 → 終値 3,993円 (+4.0%)
長い下ヒゲ: 下ヒゲ 0.0 / 実体 154 = 0.00（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 7,921,500株 vs 5日平均 7,650,580株（1.04倍、1.2倍以上で回復）
下限までの距離: 終値 3,993円 は 下限 3,819円 から +4.6%
下限付近: レンジ内位置 0.68 が上限寄り（しきい値 0.65、0=下限 / 1=上限）。下限まで +4.6% だが既にレンジ上部にあり、下限反発の買い場ではない
損切り候補: 3,800円 = 下限 3,819円 の 0.5% 下
状態: RANGE — 上昇トレンド＋6営業日のレンジ。ただしレンジ内位置 0.68 と上限寄りで、下限反発の買い場ではない","出来高の状態: 横ばい（レンジ平均 8,263,417株 / レンジ前平均 6,364,467株 = 1.30、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 7,921,500株 / 5日平均 7,650,580株（1.04倍）/ 20日平均 6,744,185株",RANGE — 上昇トレンド＋6営業日のレンジ。ただしレンジ内位置 0.68 と上限寄りで、下限反発の買い場ではない
2026-09-24,1813,不動テトラ,建設業,建設・国土強靭化,C,RANGE,SECONDARY,3045.00,3055.00,3000.00,3025.00,47700,2888.72,up,1.44,4.72,true,true,true,true,true,2026-09-08,2026-09-24,10,2816.00,3070.00,9.02,0.823,7.42,2,2026-09-09|2026-09-11,6,2796.29,2835.71,0.573,3070.00,3070.00,-1.47,false,false,false,false,2801.92,-7.37,0.601,1.579,79340,64235,expanding,レンジ中増加傾向,"MA25の向き: 上向き — MA25 2,889円 > 5日前 2,848円 (+1.4%)
株価 > MA25: 3,025円 > MA25 2,889円 (+4.7%)
高値切り上げ: 直近 2,955円(09/10) > 前回 2,904円(08/27) (+1.8%)
安値切り上げ: 直近 2,816円(09/11) > 前回 2,785円(09/02) (+1.1%)
トレンド強度: 0.30 ← 乖離 +4.7%（正規化 0.31 × 重み0.5） + 傾き +1.4%（正規化 0.29 × 重み0.5）","短期レンジ: 10営業日 (09/08〜09/24)
レンジ上限/下限: 下限 2,816円（zone 2,796円〜2,836円） / 上限 3,070円（zone 3,049円〜3,091円）
値幅: 9.0%（許容 1.0%〜10.0%）
下限反応: 下限2,816円±0.7% に 2回反応 (09/09, 09/11)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.75（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 1.58
レンジ品質: 0.57 ≧ しきい値 0.45（内訳: 値幅 9.0% → 0.11 × 重み0.25 / 2回 / 目標2回 → 1.00 × 重み0.3 / 後半/前半 0.75 → 0.73 × 重み0.2 / レンジ/直前 1.58 → 0.00 × 重み0.15 / 10営業日 → 1.00 × 重み0.1）
検討した window: 3日=可(品質0.50)、4日=不採用(日々の値幅が拡大中（後半/前半 1.17 > 1.15）)、5日=不採用(日々の値幅が拡大中（後半/前半 1.40 > 1.15）)、6日=不採用(日々の値幅が拡大中（後半/前半 1.24 > 1.15）)、7日=不採用(レンジ品質が不足（0.36 < 0.45）)、8日=不採用(レンジ品質が不足（0.37 < 0.45）)、9日=可(品質0.57)、10日=採用(品質0.57)","反発確認（終値 > 前日高値）: 終値 3,025円 <= 前日高値 3,070円 (-1.5%)
陽線: 始値 3,045円 → 終値 3,025円 (-0.7%)
長い下ヒゲ: 下ヒゲ 25.0 / 実体 20.0 = 1.25（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 47,700株 vs 5日平均 79,340株（0.60倍、1.2倍以上で回復）
下限までの距離: 終値 3,025円 は 下限 2,816円 から +7.4%
下限付近: レンジ内位置 0.82 が上限寄り（しきい値 0.65、0=下限 / 1=上限）。下限まで +7.4% だが既にレンジ上部にあり、下限反発の買い場ではない
損切り候補: 2,802円 = 下限 2,816円 の 0.5% 下
状態: RANGE — 上昇トレンド＋10営業日のレンジ。ただしレンジ内位置 0.82 と上限寄りで、下限反発の買い場ではない","出来高の状態: レンジ中増加傾向（レンジ平均 78,650株 / レンジ前平均 49,820株 = 1.58、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 47,700株 / 5日平均 79,340株（0.60倍）/ 20日平均 64,235株",RANGE — 上昇トレンド＋10営業日のレンジ。ただしレンジ内位置 0.82 と上限寄りで、下限反発の買い場ではない
