as_of_date,code,name,sector,theme,watch_priority,status,candidate_group,open,high,low,close,volume,ma25,ma25_direction,ma25_slope_pct,ma25_deviation_pct,close_above_ma25,higher_high,higher_low,trend_is_uptrend,range_found,range_start,range_end,range_days,range_lower,range_upper,range_width_pct,range_position,lower_distance_pct,lower_reaction_count,lower_reaction_dates,days_since_lower_touch,range_lower_zone_low,range_lower_zone_high,range_quality,previous_day_high,entry_trigger,entry_trigger_margin_pct,rebound_confirmed,bullish_candle,long_lower_wick,volume_recovered,initial_stop,stop_distance_pct,volume_ratio,volume_range_vs_pre_ratio,volume_avg5,volume_avg20,volume_evaluation,volume_evaluation_label,trend_reason,range_reason,entry_reason,volume_reason,status_reason
2026-09-25,7270,SUBARU,輸送用機器,自動車・円安,B,ENTRY_CANDIDATE,PRIMARY,2642.00,2671.50,2636.50,2660.00,3462800,2628.56,up,0.56,1.20,true,false,false,true,true,2026-09-18,2026-09-25,3,2622.00,2690.00,2.59,0.559,1.45,1,2026-09-24,0,2603.65,2640.35,0.553,2655.00,2655.00,0.19,true,true,false,false,2608.89,-1.92,1.004,1.719,3450360,3729720,expanding,レンジ中増加傾向,"MA25の向き: 上向き — MA25 2,629円 > 5日前 2,614円 (+0.6%)
株価 > MA25: 2,660円 > MA25 2,629円 (+1.2%)
高値切り上げ: 直近 2,690円(09/18) <= 前回 2,749円(09/01) (-2.1%)
安値切り上げ: 直近 2,520円(09/10) <= 前回 2,585円(08/27) (-2.5%)
トレンド強度: 0.10 ← 乖離 +1.2%（正規化 0.08 × 重み0.5） + 傾き +0.6%（正規化 0.11 × 重み0.5）","短期レンジ: 3営業日 (09/18〜09/25)
レンジ上限/下限: 下限 2,622円（zone 2,604円〜2,640円） / 上限 2,690円（zone 2,671円〜2,709円）
値幅: 2.6%（許容 1.0%〜10.0%）
下限反応: 下限2,622円±0.7% に 1回反応 (09/24)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.61（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 1.72
レンジ品質: 0.55 ≧ しきい値 0.45（内訳: 値幅 2.6% → 0.82 × 重み0.25 / 1回 / 目標2回 → 0.50 × 重み0.3 / 後半/前半 0.61 → 0.99 × 重み0.2 / レンジ/直前 1.72 → 0.00 × 重み0.15 / 3営業日 → 0.00 × 重み0.1）
検討した window: 3日=採用(品質0.55)、4日=不採用(安値が3本連続で切り下がり（2,643→2,632→2,622）)、5日=不採用(安値が3本連続で切り下がり（2,643→2,632→2,622）)、6日=不採用(安値が3本連続で切り下がり（2,643→2,632→2,622）)、7日=不採用(安値が3本連続で切り下がり（2,643→2,632→2,622）)、8日=不採用(安値が3本連続で切り下がり（2,643→2,632→2,622）)、9日=不採用(安値が3本連続で切り下がり（2,643→2,632→2,622）)、10日=不採用(安値が3本連続で切り下がり（2,643→2,632→2,622）)","反発確認（終値 > 前日高値）: 終値 2,660円 > 前日高値 2,655円 (+0.2%)
陽線: 始値 2,642円 → 終値 2,660円 (+0.7%)
長い下ヒゲ: 下ヒゲ 5.5 / 実体 18.0 = 0.31（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 3,462,800株 vs 5日平均 3,450,360株（1.00倍、1.2倍以上で回復）
下限までの距離: 終値 2,660円 は 下限 2,622円 から +1.4%
下限付近: 距離 +1.4% <= しきい値 2.0%
損切り候補: 2,609円 = 下限 2,622円 の 0.5% 下
状態: ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +1.4%）＋反発確認（終値 2,660円 > 前日高値 2,655円）。必ず日足を人間が確認する","出来高の状態: レンジ中増加傾向（レンジ平均 4,063,867株 / レンジ前平均 2,364,600株 = 1.72、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 3,462,800株 / 5日平均 3,450,360株（1.00倍）/ 20日平均 3,729,720株","ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +1.4%）＋反発確認（終値 2,660円 > 前日高値 2,655円）。必ず日足を人間が確認する"
2026-09-25,9513,J-POWER,電気・ガス業,電力・エネルギーインフラ,B,NEAR,PRIMARY,4118.00,4137.00,4089.00,4109.00,583000,4103.24,up,1.26,0.14,true,true,false,true,true,2026-09-18,2026-09-25,3,4075.00,4274.00,4.88,0.171,0.83,1,2026-09-24,0,4046.47,4103.52,0.492,4192.00,4192.00,-1.98,false,false,true,false,4054.62,-1.32,1.063,1.635,548460,514745,expanding,レンジ中増加傾向,"MA25の向き: 上向き — MA25 4,103円 > 5日前 4,052円 (+1.3%)
株価 > MA25: 4,109円 > MA25 4,103円 (+0.1%)
高値切り上げ: 直近 4,279円(09/17) > 前回 4,249円(09/03) (+0.7%)
安値切り上げ: 直近 4,048円(09/11) <= 前回 4,058円(09/04) (-0.2%)
トレンド強度: 0.13 ← 乖離 +0.1%（正規化 0.01 × 重み0.5） + 傾き +1.3%（正規化 0.25 × 重み0.5）","短期レンジ: 3営業日 (09/18〜09/25)
レンジ上限/下限: 下限 4,075円（zone 4,046円〜4,104円） / 上限 4,274円（zone 4,244円〜4,304円）
値幅: 4.9%（許容 1.0%〜10.0%）
下限反応: 下限4,075円±0.7% に 1回反応 (09/24)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.47（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 1.64
レンジ品質: 0.49 ≧ しきい値 0.45（内訳: 値幅 4.9% → 0.57 × 重み0.25 / 1回 / 目標2回 → 0.50 × 重み0.3 / 後半/前半 0.47 → 1.00 × 重み0.2 / レンジ/直前 1.64 → 0.00 × 重み0.15 / 3営業日 → 0.00 × 重み0.1）
検討した window: 3日=採用(品質0.49)、4日=不採用(安値が3本連続で切り下がり（4,210→4,170→4,075）)、5日=不採用(安値が3本連続で切り下がり（4,210→4,170→4,075） / 日々の値幅が拡大中（後半/前半 1.21 > 1.15）)、6日=不採用(安値が3本連続で切り下がり（4,210→4,170→4,075） / 日々の値幅が拡大中（後半/前半 1.32 > 1.15）)、7日=不採用(安値が3本連続で切り下がり（4,210→4,170→4,075）)、8日=不採用(安値が3本連続で切り下がり（4,210→4,170→4,075）)、9日=不採用(安値が3本連続で切り下がり（4,210→4,170→4,075）)、10日=不採用(安値が3本連続で切り下がり（4,106→4,104→4,048）)","反発確認（終値 > 前日高値）: 終値 4,109円 <= 前日高値 4,192円 (-2.0%)
陽線: 始値 4,118円 → 終値 4,109円 (-0.2%)
長い下ヒゲ: 下ヒゲ 20.0 / 実体 9.0 = 2.22（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 583,000株 vs 5日平均 548,460株（1.06倍、1.2倍以上で回復）
下限までの距離: 終値 4,109円 は 下限 4,075円 から +0.8%
下限付近: 距離 +0.8% <= しきい値 2.0%
損切り候補: 4,055円 = 下限 4,075円 の 0.5% 下
状態: NEAR — 上昇トレンド＋レンジ下限付近（下限まで +0.8%）。反発確認はまだ＝最重要監視候補","出来高の状態: レンジ中増加傾向（レンジ平均 666,600株 / レンジ前平均 407,700株 = 1.64、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 583,000株 / 5日平均 548,460株（1.06倍）/ 20日平均 514,745株",NEAR — 上昇トレンド＋レンジ下限付近（下限まで +0.8%）。反発確認はまだ＝最重要監視候補
2026-09-25,1813,不動テトラ,建設業,建設・国土強靭化,C,NEAR,PRIMARY,3025.00,3050.00,3010.00,3020.00,70800,2895.76,up,1.39,4.29,true,true,true,true,true,2026-09-18,2026-09-25,3,2982.00,3070.00,2.95,0.432,1.27,1,2026-09-18,1,2961.13,3002.87,0.604,3055.00,3055.00,-1.15,false,false,true,false,2967.09,-1.75,0.824,1.106,85940,66145,neutral,横ばい,"MA25の向き: 上向き — MA25 2,896円 > 5日前 2,856円 (+1.4%)
株価 > MA25: 3,020円 > MA25 2,896円 (+4.3%)
高値切り上げ: 直近 3,070円(09/18) > 前回 2,955円(09/10) (+3.9%)
安値切り上げ: 直近 2,816円(09/11) > 前回 2,785円(09/02) (+1.1%)
トレンド強度: 0.28 ← 乖離 +4.3%（正規化 0.29 × 重み0.5） + 傾き +1.4%（正規化 0.28 × 重み0.5）","短期レンジ: 3営業日 (09/18〜09/25)
レンジ上限/下限: 下限 2,982円（zone 2,961円〜3,003円） / 上限 3,070円（zone 3,049円〜3,091円）
値幅: 3.0%（許容 1.0%〜10.0%）
下限反応: 下限2,982円±0.7% に 1回反応 (09/18)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.45（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 1.11
レンジ品質: 0.60 ≧ しきい値 0.45（内訳: 値幅 3.0% → 0.78 × 重み0.25 / 1回 / 目標2回 → 0.50 × 重み0.3 / 後半/前半 0.45 → 1.00 × 重み0.2 / レンジ/直前 1.11 → 0.39 × 重み0.15 / 3営業日 → 0.00 × 重み0.1）
検討した window: 3日=採用(品質0.60)、4日=可(品質0.56)、5日=可(品質0.53)、6日=不採用(レンジ品質が不足（0.42 < 0.45）)、7日=不採用(レンジ品質が不足（0.36 < 0.45）)、8日=不採用(レンジ品質が不足（0.37 < 0.45）)、9日=不採用(レンジ品質が不足（0.39 < 0.45）)、10日=可(品質0.59)","反発確認（終値 > 前日高値）: 終値 3,020円 <= 前日高値 3,055円 (-1.1%)
陽線: 始値 3,025円 → 終値 3,020円 (-0.2%)
長い下ヒゲ: 下ヒゲ 10.0 / 実体 5.0 = 2.00（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 70,800株 vs 5日平均 85,940株（0.82倍、1.2倍以上で回復）
下限までの距離: 終値 3,020円 は 下限 2,982円 から +1.3%
下限付近: 距離 +1.3% <= しきい値 2.0%
損切り候補: 2,967円 = 下限 2,982円 の 0.5% 下
状態: NEAR — 上昇トレンド＋レンジ下限付近（下限まで +1.3%）。反発確認はまだ＝最重要監視候補","出来高の状態: 横ばい（レンジ平均 81,833株 / レンジ前平均 74,000株 = 1.11、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 70,800株 / 5日平均 85,940株（0.82倍）/ 20日平均 66,145株",NEAR — 上昇トレンド＋レンジ下限付近（下限まで +1.3%）。反発確認はまだ＝最重要監視候補
2026-09-25,6702,富士通,電気機器,AIインフラ・通信,A,RANGE,SECONDARY,3987.00,4055.00,3976.00,4028.00,7302900,3836.40,up,1.47,4.99,true,true,false,true,true,2026-09-14,2026-09-25,7,3819.00,4075.00,6.70,0.816,5.47,2,2026-09-14|2026-09-24,1,3792.27,3845.73,0.575,4028.00,4028.00,0.00,false,true,false,false,3799.91,-5.66,1.064,1.333,6865960,6892120,expanding,レンジ中増加傾向,"MA25の向き: 上向き — MA25 3,836円 > 5日前 3,781円 (+1.5%)
株価 > MA25: 4,028円 > MA25 3,836円 (+5.0%)
高値切り上げ: 直近 4,075円(09/15) > 前回 3,947円(09/04) (+3.2%)
安値切り上げ: 直近 3,664円(09/10) <= 前回 3,773円(09/03) (-2.9%)
トレンド強度: 0.31 ← 乖離 +5.0%（正規化 0.33 × 重み0.5） + 傾き +1.5%（正規化 0.29 × 重み0.5）","短期レンジ: 7営業日 (09/14〜09/25)
レンジ上限/下限: 下限 3,819円（zone 3,792円〜3,846円） / 上限 4,075円（zone 4,046円〜4,104円）
値幅: 6.7%（許容 1.0%〜10.0%）
下限反応: 下限3,819円±0.7% に 2回反応 (09/14, 09/24)（目標 2回・連続日は1回に集約）
値幅の推移: 後半/前半 = 0.80（1.00未満が収縮、除外は 1.15 超）
レンジ中の出来高: レンジ平均/直前同日数平均 = 1.33
レンジ品質: 0.58 ≧ しきい値 0.45（内訳: 値幅 6.7% → 0.37 × 重み0.25 / 2回 / 目標2回 → 1.00 × 重み0.3 / 後半/前半 0.80 → 0.63 × 重み0.2 / レンジ/直前 1.33 → 0.00 × 重み0.15 / 7営業日 → 0.57 × 重み0.1）
検討した window: 3日=不採用(レンジ品質が不足（0.41 < 0.45）)、4日=不採用(日々の値幅が拡大中（後半/前半 1.51 > 1.15）)、5日=不採用(日々の値幅が拡大中（後半/前半 1.49 > 1.15）)、6日=不採用(レンジ品質が不足（0.39 < 0.45）)、7日=採用(品質0.58)、8日=不採用(レンジ品質が不足（0.32 < 0.45）)、9日=不採用(値幅が広すぎる（11.2% > 10.0%）)、10日=不採用(値幅が広すぎる（11.2% > 10.0%）)","反発確認（終値 > 前日高値）: 終値 4,028円 <= 前日高値 4,028円 (+0.0%)
陽線: 始値 3,987円 → 終値 4,028円 (+1.0%)
長い下ヒゲ: 下ヒゲ 11.0 / 実体 41.0 = 0.27（1.5倍以上で長い下ヒゲ）
出来高回復: 当日 7,302,900株 vs 5日平均 6,865,960株（1.06倍、1.2倍以上で回復）
下限までの距離: 終値 4,028円 は 下限 3,819円 から +5.5%
下限付近: レンジ内位置 0.82 が上限寄り（しきい値 0.65、0=下限 / 1=上限）。下限まで +5.5% だが既にレンジ上部にあり、下限反発の買い場ではない
損切り候補: 3,800円 = 下限 3,819円 の 0.5% 下
状態: RANGE — 上昇トレンド＋7営業日のレンジ。ただしレンジ内位置 0.82 と上限寄りで、下限反発の買い場ではない","出来高の状態: レンジ中増加傾向（レンジ平均 8,126,200株 / レンジ前平均 6,098,271株 = 1.33、減少判定 <= 0.8 / 増加判定 >= 1.3）
出来高の平均: 当日 7,302,900株 / 5日平均 6,865,960株（1.06倍）/ 20日平均 6,892,120株",RANGE — 上昇トレンド＋7営業日のレンジ。ただしレンジ内位置 0.82 と上限寄りで、下限反発の買い場ではない
